affix,stem,derived_word,ST
-able,revoke,revocable,6.43
re-,word,reword,5.43
-al,rhomboid,rhomboidal,6.14
-ly,rhythmical,rhythmically,6.29
-less,rider,riderless,3.43
-er,rig,rigger,4.29
-ful,right,rightful,6.43
-ity,rigid,rigidity,6.29
-ly,rigid,rigidly,6.71
-less,rim,rimless,3
-less,roof,roofless,3.43
-y,rubbish,rubbishy,6.57
-less,rudder,rudderless,3.57
-ful,rue,rueful,6.29
-ness,rugged,ruggedness,6.43
-ous,ruin,ruinous,6
-ic,rune,runic,4.86
-y,run,runny,4.29
-ness,sacred,sacredness,6.29
-ous,sacrilege,sacrilegious,6.29
-ist,salvation,salvationist,6.25
-ic,Satan,satanic,6.29
-ion,satisfy,satisfaction,6.57
-ize,scheme,schematize,5.86
-y,schmaltz,schmaltzy,6.43
-er,scorch,scorcher,6.29
-less,score,scoreless,3.57
-y,screw,screwy,2.71
-ous,scrofula,scrofulous,6.43
-er,scrounge,scrounger,5.86
-ly,secondary,secondarily,6.43
-ist,secularism,secularist,6.14
-ize,secular,secularize,5.86
-ous,sedition,seditious,6.43
-less,self,selfless,3.86
-ity,senile,senility,6.57
-ous,sentence,sententious,2.71
-ness,serious,seriousness,6.43
-er,set,setter,3.57
-ful,shame,shameful,6
-ness,shameless,shamelessness,6.71
-er,share,sharer,5.57
-ly,sickening,sickeningly,6.43
-ness,silly,silliness,6.43
-ful,sin,sinful,6.29
-able,sing,singable,6.43
-ly,single,singly,4.86
-er,sink,sinker,4
-y,sister,sissy,3
-ion,situate,situation,5.29
-ness,skew,skewness,6.29
-ful,skill,skilful,6.14
-er,skim,skimmer,6.29
-y,slate,slaty,5.86
-less,sleeve,sleeveless,4.71
-ful,sloth,slothful,6.29
-y,smoke,smoky,6.43
-y,smudge,smudgy,6.57
-ist,socialism,socialist,6.57
-ize,social,socialize,6.14
-ity,solemn,solemnity,6.57
-ity,soluble,solubility,6
-able,solve,solvable,6.14
-ous,space,spacious,6.43
-ity,sparse,sparsity,6.14
-less,speech,speechless,3
-ness,spicy,spiciness,6.43
-y,spine,spiny,4
-al,spire,spiral,3.29
-er,spoil,spoiler,5
-ity,spontaneous,spontaneity,6.71
-ful,spoon,spoonful,5.71
-ly,stable,stably,5.86
-less,stain,stainless,3.86
-ize,standard,standardize,6.14
-less,state,stateless,3.43
-er,stick,sticker,4.29
-y,stick,sticky,5
-ly,stiff,stiffly,6.43
-less,sting,stingless,4.43
-ion,stipulate,stipulation,6.57
-er,stoke,stoker,6.29
-less,strap,strapless,2.86
-y,stripe,stripy,6
-y,stubble,stubbly,6.57
-ist,style,stylist,4.71
-ion,subordinate,subordination,6.43
-ion,subscribe,subscription,6.14
-ly,subversive,subversively,6.43
-ful,success,successful,6.29
-ion,suffocate,suffocation,6.57
-ize,summary,summarize,6.71
-ist,supremacy,supremacist,6.14
-ic,surrealist,surrealistic,6.57
-ity,susceptible,susceptibility,5.86
-ous,suspicion,suspicious,6.43
-ic,sybarite,sybaritic,6.29
-ic,syllable,syllabic,6.14
-ic,symmetry,symmetric,6.29
-ful,tact,tactful,6.43
-al,tactic,tactical,6.14
-less,tact,tactless,3.86
-er,take,taker,6.29
-ness,talkative,talkativeness,6.57
-ness,tasteless,tastelessness,6.43
-able,teach,teachable,5.71
-less,tear,tearless,4.57
-ist,telegraph,telegraphist,6.14
-ize,tender,tenderize,6.57
-al,territory,territorial,6.14
-ness,terse,terseness,6.29
-ic,theist,theistic,6.57
-ful,thought,thoughtful,6.14
-less,time,timeless,4
-y,tin,tinny,4.14
-er,tipple,tippler,5.29
-ness,tired,tiredness,6.43
-able,tolerate,tolerable,5.71
-ity,total,totality,6.43
-ist,traditionalism,traditionalist,6.38
-ist,transcendentalism,transcendentalist,6.14
-able,transfer,transferable,6.43
-able,translate,translatable,6.29
-ly,transparent,transparently,6.29
-able,treat,treatable,5.14
-er,treat,treater,6.14
-ment,treat,treatment,5.29
-er,trespass,trespasser,6.57
-al,tribune,tribunal,5.57
-ity,trivial,triviality,6.57
-ist,trombone,trombonist,6.29
-ful,truth,truthful,6.29
-less,tube,tubeless,3.57
-ous,tubercle,tuberculous,5.29
-ful,tune,tuneful,6.57
-ity,turbid,turbidity,6.29
-er,typeset,typesetter,6.29
-ize,tyrant,tyrannize,5.43
un-,alienable,unalienable,3.71
un-,asked,unasked,3.86
un-,beaten,unbeaten,2.14
un-,believable,unbelievable,3
un-,canny,uncanny,2.29
un-,civil,uncivil,3.14
